date,ch1,ch2,hono,err
44974.41331,-31.86034535,-30.36385816,-1.536190272,0.055914713
44974.41366,-31.79968736,-29.59115062,-2.248164231,-0.015282683
44974.414,-31.5531976,-28.75405633,-2.838461596,-0.074312419
44974.41435,-30.74921257,-28.04573553,-2.741795475,-0.064645807
44974.4147,-30.13105929,-27.27302798,-2.89557943,-0.080024203
44974.41505,-69.96228549,-26.11399999,-43.9354697,-4.184013229
44974.41539,5.731898287,-25.14813222,30.88717336,3.298251077
44974.41574,128.3176292,-104.0862102,232.5637437,23.46590811
44974.41609,28.15302532,-85.80030909,113.9884176,11.6083755
44974.41644,23.19622584,31.96310716,-8.737975115,-0.664263771
44974.41678,-40.60729723,-2.934439904,-37.72346051,-3.56281231
44974.41713,503.0112549,-21.09143426,524.7295216,52.6824859
44974.41748,-130.738272,15.28714115,-146.188334,-14.40929966
44974.41782,-35.34592183,126.0967894,-161.4867579,-15.93914205
44974.41817,-67.12443849,54.3056396,-121.5137259,-11.94183885
44974.41852,-91.1599652,59.45664555,-150.7302106,-14.86348732
44974.41887,-106.1516797,-17.09912305,-89.18483857,-8.708950116
44974.41921,-48.85483999,47.73839196,-96.65411289,-9.455877548
44974.41956,-128.5779504,-102.2826483,-26.45553075,-2.436019334
44974.41991,-59.88342951,-22.8937298,-37.06432404,-3.496898663
44974.42025,184.6079351,34.47492324,150.3630628,15.24584002
44974.4206,52.48026872,18.76462504,33.78104248,3.587637989
44974.42095,-31.26919644,3.054326851,-34.36248971,-3.22671523
44974.4213,-72.58707671,117.3408591,-190.0183909,-18.79230535
44974.42164,12.02703149,6.724504402,5.317514688,0.741285209
44974.42199,-46.57320234,37.50143333,-84.13267332,-8.203733592
44974.42234,-149.3394508,-6.023937044,-143.5016146,-14.14062772
44974.42269,-23.16097259,-31.97172708,8.781892221,1.087722963
44974.42303,-109.3881945,-68.28578245,-41.23872726,-3.914338986
44974.42338,27.44463785,24.62435171,2.854486544,0.494982395
44974.42373,3.718830734,9.364760704,-5.641295712,-0.354595831
44974.42407,-12.75953779,5.17968918,-17.95512739,-1.585978999
44974.42442,-24.59211235,-14.78013393,-9.842624121,-0.774728672
44974.42477,-26.51365978,-31.77816695,5.231466912,0.732680432
44974.42512,-27.87771193,-33.83847601,5.926023998,0.80213614
44974.42546,-28.80815664,-33.77402262,4.929966406,0.702530381
44974.42581,-29.67665744,-33.64518248,3.931543185,0.602688059
44974.42616,-30.85487783,-33.58072909,2.687401147,0.478273855
44974.4265,-31.59949079,-33.25872873,1.619859926,0.371519733
44974.42685,-31.78660847,-33.00111511,1.17489545,0.327023285
44974.4272,-31.84983831,-32.55034127,0.660812973,0.275615038
44974.42755,-31.7272364,-32.03518069,0.26840709,0.236374449
44974.42789,-31.3568588,-31.45563337,0.059698913,0.215503632
44974.42824,-31.04842512,-30.94047279,-0.146643635,0.194869377
44974.42859,-30.67804753,-30.48969895,-0.226578331,0.186875907
44974.42894,-30.49350169,-30.16769859,-0.363802879,0.173153453
44974.42928,-30.43284369,-29.84569823,-0.625069649,0.147026776
44974.42963,-30.3721857,-29.45931113,-0.950723162,0.114461424
44974.42998,-30.3115277,-29.39485774,-0.954442968,0.114089444
44974.43032,-30.37475754,-29.20163086,-1.21097848,0.088435892
44974.43067,-30.25215562,-29.07279073,-1.217063915,0.087827349
44974.43102,-30.25344154,-29.13711082,-1.154031351,0.094130605
44974.43137,-30.44055923,-29.13704416,-1.341448862,0.075388854
44974.43171,-30.37990123,-29.13697751,-1.280781927,0.081455548
44974.43206,-30.44313107,-29.2012976,-1.279770474,0.081556693
44974.43241,-30.50636091,-29.26561769,-1.278759022,0.081657838
44974.43275,-30.56959075,-29.26555104,-1.34213431,0.075320309
44974.4331,-30.50893275,-29.39425787,-1.152693893,0.094264351
44974.43345,-30.51021868,-29.39419122,-1.154048069,0.094128934
44974.4338,-30.63539244,-29.39412456,-1.279444469,0.081589294
44974.43414,-30.63667836,-29.52283139,-1.152025163,0.094331224
44974.43449,-30.63796428,-29.52276474,-1.15337934,0.094195806
44974.43484,-30.6392502,-29.58708483,-1.090346775,0.100499063
44974.43519,-30.76442396,-29.65140492,-1.151356434,0.094398097
44974.43553,-30.76570989,-29.65133827,-1.152710611,0.094262679
44974.43588,-30.70505189,-29.58688487,-1.156430417,0.093890699
44974.43623,-30.76828173,-29.65120496,-1.155418964,0.093991844
44974.43657,-30.83151157,-29.65113831,-1.218794252,0.087654315
44974.43692,-30.95668533,-29.77984514,-1.21541717,0.087992023
44974.43727,-30.83408342,-29.77977849,-1.092729123,0.100260828
44974.43762,-30.89731326,-29.84409858,-1.09171767,0.100361973
44974.43796,-31.02248702,-29.97280541,-1.088340588,0.100699682
44974.43831,-31.02377294,-29.90835201,-1.154081506,0.09412559
44974.43866,-30.96311494,-29.9726721,-1.02902783,0.106630957
44974.439,-31.15023262,-29.90821871,-1.280832082,0.081450532
44974.43935,-31.15151855,-29.90815206,-1.282186259,0.081315115
44974.4397,-31.21474839,-29.9080854,-1.345561547,0.074977586
44974.44005,-31.21603431,-29.90801875,-1.346915724,0.074842168
44974.44039,-31.27926415,-29.9079521,-1.410291012,0.068504639
44974.44074,-31.21860615,-30.16543241,-1.092077112,0.100326029
44974.44109,-31.34377991,-30.03659228,-1.346246995,0.074909041
