date,ch1,ch2,hono,error
44968.73367,0.522852708,0.19383288,,0.135775813
44968.73402,0.521353515,0.13409241,,0.135775813
44968.73436,0.406345486,0.192585018,,0.135775813
44968.73471,0.404846292,0.132844548,,0.135775813
44968.73506,0.289838263,0.073104078,,0.135775813
44968.7354,0.345093488,0.131596685,,0.135775813
44968.73575,0.286839877,0.190089292,,0.135775813
44968.7361,0.342095101,0.130348822,,0.135775813
44968.73645,0.227087072,0.129724891,,0.135775813
44968.73679,0.168833461,0.188217498,,0.135775813
44968.73714,0.167334268,0.187593567,,0.135775813
44968.73749,0.109080657,0.127853097,,0.135775813
44968.73784,0.164335881,0.186345704,,0.135775813
44968.73818,0.10608227,0.185721773,,0.135775813
44968.73853,0.161337494,0.125981303,,0.135775813
44968.73888,0.159838301,0.18447391,,0.135775813
44968.73922,0.10158469,0.242966517,,0.135775813
44968.73957,0.100085496,0.183226048,,0.135775813
44968.73992,-0.014922533,0.182602116,,0.135775813
44968.74027,0.040332692,0.063745108,,0.135775813
44968.74061,-0.017920919,0.122237715,,0.135775813
44968.74096,0.037334305,0.121613784,,0.135775813
44968.74131,0.035835112,0.120989852,,0.135775813
44968.74165,0.034335919,0.238598998,,0.135775813
44968.742,0.032836725,0.11974199,,0.135775813
44968.74235,-0.025416886,0.06000152,,0.135775813
44968.7427,0.029838339,0.118494127,,0.135775813
44968.74304,-0.08516969,0.058753657,,0.135775813
44968.74339,0.026839952,0.058129726,,0.135775813
44968.74374,0.082095176,0.116622333,,0.135775813
44968.74409,0.137350401,0.17511494,,0.135775813
44968.74443,0.022342372,0.056257932,,0.135775813
44968.74478,0.077597596,0.114750539,,0.135775813
44968.74513,0.019343985,0.173243146,,0.135775813
44968.74547,0.017844792,0.113502676,,0.135775813
44968.74582,0.073100016,0.053762206,,0.135775813
44968.74617,0.185109659,0.112254814,,0.135775813
44968.74652,0.240364883,0.288980498,,0.135775813
44968.74686,0.465883361,0.229240028,,0.135775813
44968.74721,0.634647421,0.228616097,,0.135775813
44968.74756,0.860165899,0.287108704,,0.135775813
44968.7479,1.085684377,0.522950927,,0.135775813
44968.74825,1.481466109,0.581443534,,0.135775813
44968.7486,1.820493423,0.758169218,,0.135775813
44968.74895,2.102766319,0.875778364,,0.135775813
44968.74929,2.271530379,0.99338751,,0.135775813
44968.74964,2.497048857,1.170113194,,0.135775813
44968.74999,2.609058499,1.169489263,,0.135775813
44968.75034,2.664313724,1.22798187,,0.135775813
44968.75068,2.549305695,1.227357939,,0.135775813
44968.75103,2.547806501,1.285850546,,0.135775813
44968.75138,2.48955289,1.344343153,,0.135775813
44968.75172,2.431299279,1.343719222,1.090588181,0.244834631
44968.75207,2.31629125,1.34309529,0.97606179,0.233381992
44968.75242,2.428300892,1.342471359,1.088833948,0.244659207
44968.75277,2.370047281,1.341847428,1.031132194,0.238889032
44968.75311,2.255039252,1.400340035,0.857489264,0.221524739
44968.75346,2.196785641,1.458832642,0.740670971,0.20984291
44968.75381,2.081777612,1.399092172,0.685261118,0.204301925
44968.75415,2.023524001,1.280235164,0.745792441,0.210355057
44968.7545,1.965270389,1.338727771,0.628974149,0.198673228
44968.75485,1.85026236,1.33810384,0.514447757,0.187220588
44968.7552,1.792008749,1.27836337,0.515862542,0.187362067
44968.75554,1.847263974,1.395972516,0.453576985,0.181133511
44968.75589,1.789010362,1.336232046,0.454991769,0.18127499
44968.75624,1.730756751,1.335608114,0.397290015,0.175504814
44968.75659,1.842766394,1.394100722,0.450945634,0.180870376
44968.75693,1.8412672,1.334360252,0.509185056,0.186694318
44968.75728,1.896522425,1.392852859,0.506016038,0.186377416
44968.75763,1.838268814,1.392228928,0.448314284,0.180607241
44968.75797,1.83676962,1.391604996,0.447437167,0.180519529
44968.75832,1.835270427,1.450097603,0.387443511,0.174520164
44968.75867,1.777016816,1.331240595,0.447974834,0.180573296
44968.75902,1.718763205,1.271500125,0.449389619,0.180714775
44968.75936,1.660509593,1.329992732,0.332571326,0.169032945
44968.75971,1.6590104,1.38848534,0.272577671,0.16303358
44968.76006,1.487247953,1.32874487,0.160343181,0.151810131
44968.7604,1.599257595,1.328120938,0.273115338,0.163087347
