"date_utc","hono_ppt","hono_err_ppt","hono_lod_ppt","flag"
2023-02-10 15:00:00,11.5208250610574,1.28640323565766,0.134320729551924,0
2023-02-10 16:00:00,9.94024793239293,1.12834552279122,0.134320729551924,0
2023-02-10 17:00:00,7.25227342091693,0.859548071643617,0.134320729551924,0
2023-02-10 18:00:00,4.21725653791443,0.556046383343366,0.134320729551924,0
2023-02-10 19:00:00,2.23451531628078,0.357772261180001,0.137472756023448,0
2023-02-10 20:00:00,0.599075644582842,0.217868492546637,0.157960928088353,0
2023-02-10 21:00:00,0.652743498570981,0.223235277945451,0.157960928088353,0
2023-02-10 22:00:00,0.822835107583571,0.24024443884671,0.157960928088353,0
2023-02-10 23:00:00,1.08199331217569,0.266160259305922,0.157960928088353,0
2023-02-11,1.27535508872132,0.285496436960485,0.157960928088353,0
2023-02-11 01:00:00,2.19186496112464,0.377147424200818,0.251038503990596,0
2023-02-11 02:00:00,2.07597782233338,0.953417084441121,0.745819302207784,0
2023-02-11 03:00:00,NA,NA,0.745819302207784,0
2023-02-11 04:00:00,NA,NA,0.745819302207784,0
2023-02-11 05:00:00,NA,NA,0.745819302207784,0
2023-02-11 06:00:00,NA,NA,0.745819302207784,0
2023-02-11 07:00:00,NA,NA,0.745819302207784,0
2023-02-11 08:00:00,NA,NA,0.745819302207784,0
2023-02-11 09:00:00,13.5091170228135,2.09673100448913,0.745819302207784,0
2023-02-11 10:00:00,9.6741706385355,1.71323636606133,0.745819302207784,0
2023-02-11 11:00:00,6.34619120018291,1.38043842222607,0.745819302207784,0
2023-02-11 12:00:00,9.12966734036772,1.65878603624456,0.745819302207784,0
2023-02-11 13:00:00,10.2132187207644,1.76714117428423,0.745819302207784,0
2023-02-11 14:00:00,NA,NA,0.656182940401502,0
2023-02-11 15:00:00,NA,NA,0.179694911852324,0
2023-02-11 16:00:00,9.37232838107897,1.11692774996022,0.179694911852324,0
2023-02-11 17:00:00,9.11391732853627,1.09108664470595,0.179694911852324,0
2023-02-11 18:00:00,6.12518097777922,0.792213009630246,0.190785410681696,0
2023-02-11 19:00:00,0.370516444317536,0.259677519494552,0.222625875062799,0
2023-02-11 20:00:00,0.0556856187377391,0.228194436936572,0.222625875062799,0
2023-02-11 21:00:00,-0.213917151508404,0.201234159911958,0.222625875062799,0
2023-02-11 22:00:00,-0.231245021644633,0.199501372898335,0.222625875062799,0
2023-02-11 23:00:00,0.0387299143939892,0.226498866502197,0.222625875062799,0
2023-02-12,-0.0447034320437853,0.21815553185842,0.236093323148742,0
2023-02-12 01:00:00,0.376379229710834,0.30923633652822,0.271598413557137,0
2023-02-12 02:00:00,1.02267092518461,0.373865506075598,0.271598413557137,0
2023-02-12 03:00:00,0.315295129034494,0.303127926460586,0.271598413557137,0
2023-02-12 04:00:00,1.74090873055696,0.445689286612833,0.271598413557137,0
2023-02-12 05:00:00,0.853842769295111,0.356982690486648,0.271598413557137,0
