Date,channel 1,error,channel 2,error
10/02/2023 10:43,-0.099797801,-0.009473044,-0.095519257,-0.009410648
10/02/2023 10:43,-0.099700603,-0.009463324,-0.095520428,-0.009410765
10/02/2023 10:44,-0.099803404,-0.009473605,-0.095621598,-0.009420882
10/02/2023 10:44,-0.099706205,-0.009463885,-0.095622769,-0.009420999
10/02/2023 10:45,-0.099708446,-0.009464109,-0.095323705,-0.009391093
10/02/2023 10:45,-0.099709754,-0.00946424,-0.095524252,-0.009411147
10/02/2023 10:46,-0.099713302,-0.009464594,-0.095625734,-0.009421296
10/02/2023 10:46,-0.099716103,-0.009464875,-0.095526905,-0.009411413
10/02/2023 10:47,-0.099718905,-0.009465155,-0.095428075,-0.00940153
10/02/2023 10:47,-0.099821706,-0.009475435,-0.095529246,-0.009411647
10/02/2023 10:48,-0.099724507,-0.009465715,-0.095430416,-0.009401764
10/02/2023 10:48,-0.099727309,-0.009465995,-0.095431587,-0.009401881
10/02/2023 10:49,-0.09963011,-0.009456275,-0.095532757,-0.009411998
10/02/2023 10:49,-0.099632911,-0.009456555,-0.095533928,-0.009412115
10/02/2023 10:50,-0.099735713,-0.009466835,-0.095635098,-0.009422232
10/02/2023 10:50,-0.099638514,-0.009457116,-0.095536269,-0.009412349
10/02/2023 10:51,-0.099641315,-0.009457396,-0.09563744,-0.009422466
10/02/2023 10:51,-0.099544117,-0.009447676,-0.09553861,-0.009412583
10/02/2023 10:52,-0.099746918,-0.009467956,-0.095539781,-0.0094127
10/02/2023 10:52,-0.099849719,-0.009478236,-0.095540951,-0.009412817
10/02/2023 10:53,-0.099752521,-0.009468516,-0.095542122,-0.009412934
10/02/2023 10:53,-0.099755322,-0.009468796,-0.095643292,-0.009423051
10/02/2023 10:54,-0.099858123,-0.009479077,-0.095444463,-0.009403168
10/02/2023 10:54,-0.099960925,-0.009489357,-0.095545633,-0.009413286
10/02/2023 10:55,-0.099963726,-0.009489637,-0.095546804,-0.009413403
10/02/2023 10:55,-0.099766527,-0.009469917,-0.095547974,-0.00941352
10/02/2023 10:56,-0.099869329,-0.009480197,-0.095649145,-0.009423637
10/02/2023 10:56,-0.09987213,-0.009480477,-0.095650315,-0.009423754
10/02/2023 10:57,-0.099774931,-0.009470757,-0.095651486,-0.009423871
10/02/2023 10:57,-0.099777733,-0.009471037,-0.095652656,-0.009423988
10/02/2023 10:58,-0.099880534,-0.009481318,-0.095553827,-0.009414105
10/02/2023 10:58,-0.099883335,-0.009481598,-0.095454998,-0.009404222
10/02/2023 10:59,-0.099786137,-0.009471878,-0.095756168,-0.009434339
10/02/2023 10:59,-0.099888938,-0.009482158,-0.095757339,-0.009434456
10/02/2023 11:00,-0.099791739,-0.009472438,-0.095658509,-0.009424573
10/02/2023 11:00,-0.099894541,-0.009482718,-0.09565968,-0.00942469
10/02/2023 11:01,-0.099797342,-0.009472998,-0.09566085,-0.009424807
10/02/2023 11:01,-0.099800144,-0.009473279,-0.095662021,-0.009424924
10/02/2023 11:02,-0.099702945,-0.009463559,-0.095663191,-0.009425041
10/02/2023 11:02,-0.100005746,-0.009493839,-0.095964362,-0.009455158
10/02/2023 11:03,-0.100108548,-0.009504119,-0.096065532,-0.009465275
10/02/2023 11:03,-0.100111349,-0.009504399,-0.096166703,-0.009475392
10/02/2023 11:04,-0.10011415,-0.009504679,-0.096067873,-0.00946551
10/02/2023 11:04,-0.100116952,-0.009504959,-0.096069044,-0.009465627
10/02/2023 11:05,-0.100219753,-0.009515239,-0.095970214,-0.009455744
10/02/2023 11:05,-0.100322554,-0.00952552,-0.096071385,-0.009465861
10/02/2023 11:06,-0.100225356,-0.0095158,-0.096172556,-0.009475978
10/02/2023 11:06,-0.100328157,-0.00952608,-0.096273726,-0.009486095
10/02/2023 11:07,-0.100330958,-0.00952636,-0.096074897,-0.009466212
10/02/2023 11:07,-0.10033376,-0.00952664,-0.096076067,-0.009466329
